夜太黑，别开灯,08-04·江西,这宝宝的声优是不是换人了？还是重新配音了？我记得以前不是一口四川口音的吗？呆萌呆萌的
落月々星空,2021-10-06,满满的日本动漫风格
·,07-17·陕西,第一次看👀 这个番好看吗
阳光☀️,03-01,三声阿无，随着年岁增长，是童年时姐姐，少年时暗恋的人，中老年时想要照顾一生的女儿……是一生的家人!……
挽离🌸,2021-01-20,你品，你细品....
·,2021-07-19,
庸人自渡ᝰ..,06-13·吉林,谁有好看动漫推荐一下谢谢(要很多集或者几个季)
每天快乐就行,06-01·陕西,有没有人是重新看的呢？
"
名字",时间,"内容
"
李白,2018-07-08,这3个奥特曼让你选一个去守护地球，你会选哪个？
ベ断桥烟雨ミ,01-24,
说散就散,10小时前·四川,断角王迪加
·,01-01,多少人都在想什么时候回来的时候我就不想去想你了
美好的回忆....,01-16,呜呜呜呜呜呜呜呜我问问
。,03-28,
罗永美,2021-08-21,核酸检测鼻拭子检测
傲羽,01-22,
╭Wǒ鑀鉨↗,2021-12-29,我喜欢你欧布
萍 哥,05-12·河南,
"
名字",时间,"内容
"
柠檬,2021-08-13,这张照片好妖艳啊😂
C.c,02-06,
😂😳,2小时前·辽宁,小时候我就感觉很不一般
·,2021-12-12,
……,8小时前·河南,以前看泰罗奥特曼光碟的时候就是怪鸟哥顿巴泰罗干死了然后就出现了佐菲头顶冒火。
田佳旭,05-06·河北,咋办奥特曼角断了
·,05-08·四川,
靓仔,03-06,这里面的泰罗和梦比优斯里面的泰罗气质真的很不一样
·,03-17,这是第几集？你们知道吗？
きはなあおウルトラマントリガー,05-08·安徽,
"
名字",时间,"内容
"
ㅤ,04-16,2022年考古的有没有
白笙,17小时前·广东,时隔25年，永远十岁的小智终于获得了真正的冠军，爷的青春结束了。
·,2021-07-28,
余孽.,01-29,小智，你还记得你的比雕吗
顺⑦zī嘫_._ _._N°,2021-09-29,"1. 就是你了！宠物小精灵： 皮卡丘
3.终于捉到宠物小精灵了（收服绿毛虫→铁甲蛹， 收服比比鸟
10. 猜不到有意外收获（小智收服妙蛙种子
11. 失去主人的小火龙（小智收服小火龙）
12. 杰尼龟军团登场（小智收服杰尼龟）
13. 正辉的灯塔 （小智收服大钳蟹）
23. 在小精灵塔收服幽灵（收服鬼斯通
25. 火爆猴，别生气哦!（小智收服火暴猴）
29. 格斗小精灵大决斗（火暴猴离队
35. 迷你龙的传说（收服肯泰罗）
42. 椰蛋树军团大前进（小智的小火龙进化成火恐龙）
45. 复活？化石小精灵（小智的火恐龙进化成喷火龙
76. 小精灵联盟开幕－水之场地（小智的大钳蟹→巨钳蟹
82. 真新镇，新的出发（比比鸟→比雕，比雕离队）
85. 拯救乘龙（收服乘龙，小建加入
95. 大胃王卡比兽，大恐慌（收服卡比兽
114. 再见了 乘龙 （乘龙离队）
120. 赫拉克罗斯对抗大甲（收服赫拉克罗斯
127. 好胜的菊草叶 （收服菊草叶
135. 再见了喷火龙，直到下一次重逢~！（在喷火龙山谷喷火龙离队）
142.收服火球鼠。（收服火球鼠）
148. 杰尼龟队燃烧斗志！像火一样. （杰尼龟离队）
152. 小锯鳄是谁的？小智对抗小霞. （收服小锯鳄，小霞的蚊香蝌蚪进化成蚊香蛙）
155. 抓到漂亮的猫头夜鹰（收服猫头夜鹰）
162. 捕虫大会 在自然公园收服他！（收服大针蜂，大针蜂送奈奈）
200. 再见了菊草叶，电气的迷宫（菊草叶→月桂叶）
226. 再见妙蛙种子！大木家后院大冒险！ （妙蛙种子离队）
231. 蛋要孵化了 （得到小小象）
253. 烟墨道馆的龙之牙 (喷火龙归队）
258. 乘龙之歌 （与乘龙重逢）
259. 保护神秘蛋，在暴风天中诞生新生命（收服由基拉）"
惜灵如初,05-01·福建,从102集配音就变了，有点受不了
一个不愿透露姓名的靓仔,01-07,2022.5.1劳动节， 派大星前来考古！！！！
·,2021-12-05,2022年1月7号回顾童年
辰辰,03-09,2021.12.5下午2点重温童年啦
花期.,21小时前·河南,2022.3.9重温经典！！！！
"
名字",时间,"内容
"
钱宇,01-06,小智是大木的私生子吧？
鱼叔,2小时前·江西,我要举报42级的冠军赛，为什么不是小智？我要举报。
·,04-17,联盟战除了轰隆雉鸡滑头小子表现相当不好，剩下的八只都表现得相当不错，特别是保姆虫水水獭藤藤蛇，居然能在打击鬼三首恶龙路卡利欧手下坚持那么久，但小智的指挥，真的一言难尽，有好几次完全下错了命令，真是，唉
小炘,01-21,113集怎么加载不出来呢！？
゛Kindred·殇〃,02-22,火箭队至于这么拼吗？从第一季追到第四季
小猫呜呜,前天·黑龙江,小智这么菜的吗
陌客,4天前·山东,你们少说点话。
·,4天前·河北,太搞笑了这个弹幕，你爸爸，你爸爸
心雨心愿,昨天·河南,
·,昨天·河南,皮神发威了
"
名字",时间,"内容
"
Searching,2021-12-19,为啥没有日语版的？
🐬笑颜🐬,01-02,莎莉娜，指数5颗星，颜值高，成熟，小智女朋友的不二之选
初学者,2021-11-27,剧情变了，画风变了，配音演员也变了，我的童年结束了😭😭😭😭
沦陷.,03-29,宝可梦：旅途在哪看？
烟酒瘾🚬,07-28·广东,这季主角真不好看
·,08-21·浙江,
.........,5天前·北京,火箭队的笑容
·,2021-06-23,
丽影,08-22·广东,小智在第一季去过宝可梦学校，当时遇到了一个学生用等级打败了小霞，然后小智用皮卡丘打败了他的卡拉卡拉，那个学校比日月的学校高级多了
·,5天前·江苏,有小说后续兄弟们
"
名字",时间,"内容
"
きはなあおウルトラマントリガー,05-29·四川,纪华青终极赛罗警备队
·,12小时前·甘肃,
腾讯网友,01-08,
·,8天前·贵州,
雅兰,05-29·四川,同意诺亚比赛罗强的点一个赞
龙俊林,10-15·甘肃,奥特曼加油加油
·,4天前·山东,纪华青赛罗奥特曼
きはなあおウルトラマントリガー,11-22·贵州,
·,2小时前·江苏,
清风秋月,07-29·江苏,
"
名字",时间,"内容
"
Fangfang,04-18,该不会还有人像我一样2022年了还在看吧？
藏心。,03-19,这个可爱
死囚,1小时前·山东,
·,昨天·上海,这编剧也是一点脑子都不长，唉，这逍遥他就是个性太自私了，真的，而且编剧你就不能给他那么一点点打击吗？
OTH.,2021-09-25,2022.12.2还有谁在看吗
·,10-30·安徽,我也讨厌小遥收服䖢蛙种子
UN,11-17·山西,不会还有人2022年 10月还在看宝可梦吧
连接中断……,11-24·河南,有没有人知道小智的喷火龙什么时候回来
·,2小时前·辽宁,第154集 05:11对小刚有感情的的
黑夜,11-21·河南,
"
名字",时间,"内容
"
苏婉葵🌸苏苏 🌸,01-19,你们爱了吗？反正我爱了
早睡能早起？,01-19,
无忧无虑去流浪,10小时前·河北,风马奥特曼泰塔斯奥特曼泰迦奥特曼
·,2021-12-19,怪兽后他就不应该存在大世界上的破怪兽，他就不应该演这破破玩意儿，好吧。
一念沧海,10小时前·河北,#肖战如梦之梦#
无忧无虑去流浪,6天前·江苏,
·,7天前·广东,和和为的特利奥特曼在那玩的吧。在那玩啥呢？一会儿换一哥，一会儿换一个的，怎么？才能不让他，不让他，你他不应该压着，这谁演的呀？死人了，根本没办法。
为你存在才不孤单,8天前·辽宁,这枪给人家刮痧吗？
·,6天前·山东,唉，银河和维克特利果然是不打不相识啊！
ただ一个过客,7天前·广东,根本分不清哪个才是真正的电视啊？一开始这还是前面的，后来的根本不知道是本片的还是前面的
"
名字",时间,"内容
"
BETTY,02-10,所以格罗布是男是女？
郝迎宵,04-30·河南,能看出来这个奥特曼就是1%的天才
·,04-17,
.,03-16,兄第奥特曼
无愿无悔,01-08,
《若不惜ζ便不愛》,3小时前·黑龙江,穿那个号？#猎罪图鉴答疑解惑楼#
清风细雨,09-11·湖北,
·,08-14·湖南,奥特曼电视
左旋溜达猪🐷,11-25·北京,爱染成呢
·,04-09,罗布奥特曼剧场版... 16:07
"
名字",时间,"内容
"
漩涡鸣人,2021-11-28,又一个穿帮镜头。
Graves,2021-07-18,
小柒,22小时前·广东,"《艾斯奥特曼》分集名称：
1辉煌！奥特五兄弟
2 越过大超兽
3 燃烧！超兽地狱
4 三亿年前超兽再现
5 大蚁超兽对奥特兄弟
6 追踪变身超兽之迷
7 怪兽对超兽对宇宙人
8 太阳之命 艾斯之命
9 超兽十万匹 奇袭计划
10 决战！艾斯对乡秀树
11 超兽是十位少女吗
12 邪恶的仙人球红花
13 死刑！奥特五兄弟 死刑！
14 散在银河里的五颗星星
15 夏日怪奇系列——黑蟹的诅咒
16 夏日怪奇系列——愤怒的牛神
17 夏日怪奇系列——萤火虫平原的女妖
18 鸽子归来
19 河童宅地之谜
20 青春之星族
21 仙女的幻影
22 复仇鬼亚波人
23 飞向异次元世界
24 看哪！深夜的大异变
25 超兽的锥形窝
26 全灭！奥特五兄弟 全灭！
27 奇迹！奥特之父
28 再见夕子 月之妹！
29 奥特六弟
30 看得到的奥特之星
31 赛文交给艾斯
32 向奥特之星祈祷
33 袭击气球船
34 海中彩虹超兽
35 佐菲的赠品
36 这怪兽是有一万分贝吗 日
37 永恒的友情之星
38复活！奥特之父
39 赛文之命！艾斯之命！
40 还我熊猫
41 冬日怪奇系列——怪谈！狮子鼓
42 冬日怪奇系列——神秘！怪兽鸟复活
43 冬日怪奇系列——怪谈！冰雪男孩的呼叫
44 怪谈！闪光豆
45 大危机！拯救艾斯
46 跨越计时器
47 山椒鱼的诅咒
48 贝劳克恩的复仇
49 空中飞行的水母
50 东京大混乱！
51 惊命夺魂曲
52 你是未来的艾斯"
·,05-21·四川,"《艾斯奥特曼》分集名称：
1辉煌！奥特五兄弟
2 越过大超兽
3 燃烧！超兽地狱
4 三亿年前超兽再现
5 大蚁超兽对奥特兄弟
6 追踪变身超兽之迷
7 怪兽对超兽对宇宙人
8 太阳之命 艾斯之命
9 超兽十万匹 奇袭计划
10 决战！艾斯对乡秀树
11 超兽是十位少女吗
12 邪恶的仙人球红花
13 死刑！奥特五兄弟 死刑！
14 散在银河里的五颗星星
15 夏日怪奇系列——黑蟹的诅咒
16 夏日怪奇系列——愤怒的牛神
17 夏日怪奇系列——萤火虫平原的女妖
18 鸽子归来
19 河童宅地之谜
20 青春之星族
21 仙女的幻影
22 复仇鬼亚波人
23 飞向异次元世界
24 看哪！深夜的大异变
25 超兽的锥形窝
26 全灭！奥特五兄弟 全灭！
27 奇迹！奥特之父
28 再见夕子 月之妹！
29 奥特六弟
30 看得到的奥特之星
31 赛文交给艾斯
32 向奥特之星祈祷
33 袭击气球船
34 海中彩虹超兽
35 佐菲的赠品
36 这怪兽是有一万分贝吗 日
37 永恒的友情之星
38复活！奥特之父
39 赛文之命！艾斯之命！
40 还我熊猫
41 冬日怪奇系列——怪谈！狮子鼓
42 冬日怪奇系列——神秘！怪兽鸟复活
43 冬日怪奇系列——怪谈！冰雪男孩的呼叫
44 怪谈！闪光豆
45 大危机！拯救艾斯
46 跨越计时器
47 山椒鱼的诅咒
48 贝劳克恩的复仇
49 空中飞行的水母
50 东京大混乱！
51 惊命夺魂曲
52 你是未来的艾斯"
きはなあおウルトラマントリガー,01-28,我是纪华青艾斯奥特曼
·,01-25,
Bismarck,01-29,小时候只顾着看奥特曼打怪兽，长大后才发觉南夕子好漂亮
☀,04-14,
泽塔奥特曼,01-26,"《艾斯奥特曼》
1 辉煌！奥特五兄弟
2 越过大超兽
3 燃烧！超兽地狱
4 三亿年前超兽再现
5 大蚁超兽对奥特兄弟
6 追踪变身超兽之迷
7 怪兽对超兽对宇宙人
8 太阳之命 艾斯之命
9 超兽十万匹 奇袭计划
10 决战！艾斯对乡秀树
11 超兽是十位少女吗
12 邪恶的仙人球红花
13 死刑！奥特五兄弟 死刑！
14 散在银河里的五颗星星
15 夏日怪奇系列——黑蟹的诅咒
16 夏日怪奇系列——愤怒的牛神
17 夏日怪奇系列——萤火虫平原的女妖
18 鸽子归来
19 河童宅地之谜
20 青春之星族
21 仙女的幻影
22 复仇鬼亚波人
23 飞向异次元世界
24 看哪！深夜的大异变
25 超兽的锥形窝
26 全灭！奥特五兄弟 全灭！
27 奇迹！奥特之父 奇迹！
28 再见夕子！月之妹
29 奥特六弟
30 看得到的奥特之星"
春风十里…,04-28·江苏,奥特兄弟都是这么菜的吗？一天的时间不到，就全军覆没了？对此，我编了一首诗：奥特兄弟来打团，打到最后只剩团（诸星团）不喜勿喷
"
名字",时间,"内容
"
一叶秋,2021-08-20,谁像我一样，专门充会员来看精灵宝可梦，是的点赞！
糖甜甜^_^,2021-09-15,小光好讨厌呀。小智好亏呀！同意点赞。
余悸🍃,08-11·河南,长尾怪手给小光真的有点舍不得
·,7天前·河南,火箭队以前帮过。打过那一个凤凰，还有颜帝凤凰的天敌就是一个黑身体或舰队不是坏人他帮我小子一新的
lili,10-25·湖北,别说他自行车杀手了，死在床上呢
·,2020-04-16,
旋律,2020-05-12,“傻东西”的所有宝可梦
·,7天前·四川,
海贝贝,11-23·北京,怀旧啊 11年前买的光碟。 再次补习了一遍
旧城空念^,4天前·河北,
"
名字",时间,"内容
"
云淡风轻,02-02,2022年，专门来揭秘在文第12集之谜
一抹桃花做俗人～,2021-07-03,这赛文我非常失望，非常无语~，我只喜欢另外一个平行宇宙的赛文奥特曼X，那个超赞，这个我不喜欢。
名もない,2021-02-10,快看这里
凡一lili,01-03,
☀,01-23,2022年，大四，女，重温七爷🌟昭和yyds☝️最喜欢团了🥳
Henry,04-07,"1 隐形挑战者 库尔星人, 乌英达姆 1967年10月1日
2 绿色的恐怖 瓦伊亚尔星人 1967年10月8日
3 湖的秘密 匹特星人,艾雷王,米克拉斯 1967年10月15日
4 马克斯号，请回答！ 戈德拉星人 1967年10月22日
5 消失的时间 比拉星人 1967年10月29日
6 黑暗地带 佩盖萨星人 1967年11月5日
7 宇宙囚犯303号 休拉索星人 1967年11月12日
8 被狙击的街道 梅特龙星人 1967年11月19日
9 安德罗特零指令 切布尔星人,安德罗特少女 1967年11月26日
10 可疑的邻居 伊卡尔斯星人 1967年12月3日
11 飞向魔之山 瓦伊路德星人,那斯 1967年12月10日
12 将爱献给行星(禁播) 斯拜奥星人 1967年12月17日
13 从V3来的挑战者 阿伊洛斯星人 ,阿伊洛斯1967年12月24日
14 ULTRA警备队向西部挺进（上） 佩丹星人,金古桥 1968年1月7日
15 ULTRA警备队向西部挺进（下） 佩丹星人,金古桥 1968年1月14日
16 暗中发光之眼 安能 1968年1月21日
17 向地底进发 尤托姆 1968年1月28日
18 逃出X空间 贝尔星人,古蒙加 1968年2月4日
19 蓝色行星 巴德星人 1968年2月11日
20 粉碎地震源X 夏普雷星人,基拉德拉斯 1968年2月18日
21 追击海底基地 希卡利星人,阿伊安洛克斯 1968年2月25日
22 人之牧场 布拉科星人 1968年3月3日
23 寻找明天 夏德星人,加布拉 1968年3月10日
24 回到从前 加南星人, 乌英达姆 1968年3月17日
25 零下140度的决战 波尔星人,甘达,米克拉斯 1968年3月24日
26 超强兵器R1号 基耶龙星兽 1968年3月31日
27 生化电子人之战 博谷星人 1968年4月7日
28 700公里冲刺 奇尔星人,恐龙战车 1968年4月13日
29 孤独的地球人 普罗苔星人 1968年4月21日
30 为谁而光荣 普拉奇克星人 1968年4月28日"
家妻李知恩,2021-12-03,22年4月前来考古
以我之名@,02-07,这个歌好魔性，赛文，赛文，滚，要的哇，赛文赛文，姑啊，鸡鸭的呀，赛文赛文😂
流云,01-08,以前还买过VCD看呢 刺激
汐仙梦婷,2021-12-13,2022年1月8号 再回顾昭和奥特曼
"
名字",时间,"内容
"
侯,02-05,杰克打超大的怪兽是哪一集？
郑宁,03-31,2022了，还有人看杰克吗？
天宇,2021-09-30,你们说杰克的老婆是谁？
전정국🌸❁҉҉҉҉҉҉҉҉,2021-11-09,这是我看过的第一个奥特曼。那时候还会唱这首歌。每天守在电视机前等着。啊，我是女孩子
李璐璐,2021-07-30,大家帮帮我，这个是哪一集啊
凭风放纸鸢(吕晓豪）加油,01-27,长图
直赴远方,01-05,2022了还有人来看杰克吗？
欧布奥特曼电王罗布,11-05·广东,有没有人能告诉我， 小时候记忆里，看过一部奥特曼，女主好像被怪兽感染还是怎么记不得了，然后女主牺牲自己，自己走向怪兽，成为了怪兽的一部分，然后奥特曼好像叫杰克，但是我现在重新看杰克，发现不是，是我的记忆错乱吗。
·,07-25·广东,"1971年杰克奥特曼分集名称
第01话：怪兽出现
第02话：大反击
第03话：怪兽山
第04话：致命一击
第05话：双怪兽大闹东京（上）
第06话：双怪兽大闹东京（下）
第07话：彩虹怪兽分离器
第08话：怪兽身上的炸弹
第09话：紧急救援
第10话：恐龙-斯泰根
第11话：毒气怪兽
第12话：艾吉尔怪兽
第13话：巨流怪兽袭击东京
第14话：旋风袭击东京
第15话：说谎的男孩
第16话：神秘的恐怖大鸟
第17话：东京大爆炸
第18话：宇宙巨兽
第19话：透明的怪兽
第20话：磁力怪兽
第21话：吞噬电波的怪兽
第22话：垃圾怪兽
第23话：怪兽吞星
第24话：公寓怪兽
第25话：远离地球
第26话：太空昆虫
第27话：输赢之间
第28话：奥特曼战略出击
第29话：次郎被困
第30话：怪兽的诅咒
第31话：在恶魔和天使之间
第32话：黄昏时刻
第33话：遥远的星空我的家这一集是揭露人性的怪兽使者与少年
第34话：不该有的生命
第35话：吃光的怪兽
第36话：夜色深沉
第37话：暗杀奥特曼计划
第38话：再见奥特之星
第39话：二十世纪的雪人
第40话：传说中的雪女
第41话：复仇怪兽巴尔坦
第42话：富士山上的怪兽
第43话：冰湖怪兽
第44话：来自宇宙的爱
第45话：暗杀计划
第46话：愤怒反击
第47话：特殊的假期
第48话：夺取地球
第49话：宇宙中的神秘者
第50话：来自地下的威胁
第51话：奥特5大誓言"
SBD无畏式俯冲轰炸机,10-02·河北,坂田明子 我的童年女神 杰克奥特曼女主 在第38集中被纳克尔星人害死 我恨了纳克尔星人30年 😂
